tau,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,mse_6,mse_7,mse_8,mse_9,mse_10,mse_11,mse_12,mse_13,mse_14,mse_15,mse_16,mse_17,mse_18,mse_19,mse_20,mse_21,mse_22,mse_23,mse_24,mse_25,mse_26,mse_27,mse_28,mse_29
100,0.3054749809963534,0.3114266070445705,0.3179275507571052,0.3202639287390043,0.3277510970693972,0.3352407253106781,0.32609616594967,0.3961957684587489,0.41320932540647,0.3588770279811861,0.3321103561412605,0.3267374816710356,0.3398642389932336,0.3202983037087659,0.3326885901513401,0.3050969808262125,0.3005437180309374,0.3067741897576326,0.3106141769815497,0.317204779749059,0.3324688115819391,0.334490559199276,0.3282467104989128,0.316904475996528,0.3143772841272497,0.3145076327535096,0.3097085231151007,0.3104806385502597,0.309546385989511,0.3064754733905017
15,6.911860987116234e-08,6.485649744620527e-08,5.0051065814229055e-08,4.1187245095651764e-08,4.994370196809904e-08,5.9423567374908635e-08,8.940796626899038e-08,9.784329850063098e-08,7.77765476710037e-08,8.302008322283656e-08,8.468916021367377e-08,6.246290461285608e-08,5.1277619846275275e-08,3.5117488196158675e-08,2.7589970068726693e-08,2.5429398195744133e-08,2.6577209111200498e-08,2.7914285040694122e-08,3.3001708212126444e-08,4.283333850773544e-08,4.957885069476509e-08,5.2574888326832636e-08,6.409400401301779e-08,7.405946290480604e-08,7.548006410855654e-08,8.146921505500007e-08,9.291289084051818e-08,1.0615601987265924e-07,1.097744029221835e-07,1.1096901419073969e-07
95,0.3079757114386446,0.3023207104872376,0.3272703936021113,0.3706551532820589,0.3808240729390279,0.359133698915883,0.3461708064409783,0.3325959908571398,0.3271641146924888,0.3213985622194751,0.3144365147973355,0.3034632624209029,0.3118860673491365,0.3114009740033957,0.3037908902660986,0.3035734081256871,0.3236780288302083,0.3305926498754855,0.3255176243451326,0.3291052910707409,0.3222604500069631,0.3154736262177442,0.3165038238772357,0.3128194798544577,0.3048684123430669,0.3053266358446305,0.3183381753692553,0.3215987612385421,0.3188678886946876,0.3219584552366599
80,0.2666147721605107,0.2640907467740517,0.2652902305849162,0.2649709913272443,0.2651884050988994,0.2659671302086374,0.2702194303636011,0.2741645325168612,0.2665373782444879,0.2563556350406044,0.257936377208789,0.2668626450994745,0.2601801196435119,0.2544788731735591,0.2563712978883751,0.2589541447777311,0.2602163123682188,0.2558317442191641,0.2619224872920698,0.2660467254981235,0.2694734100522692,0.2663888031286712,0.2607093158249932,0.26472367976783,0.2750834150495232,0.2682169224386337,0.2635316342972857,0.2676112146398431,0.2678188471698006,0.264274365155163
70,0.4599129023002039,0.4898471023970922,0.4901937661997636,0.4659463689375374,0.4050140001561096,0.3846766816399158,0.3665140799842215,0.3487169828667497,0.4229285273804716,0.4667125240648652,0.4324285990309128,0.3766232162442627,0.4089133935837274,0.379676003565397,0.3331708159598357,0.3363948134250804,0.3312680285726262,0.3631702689678942,0.3676395555948751,0.3652562612421722,0.3720050718480469,0.3778332920605657,0.4636704285571292,0.4686612685208361,0.4289269207269894,0.3759195360618707,0.3916592577574188,0.4070614962367866,0.4292309259615121,0.4666679700291851
65,2.953008348628719e-05,3.3436981411825264e-05,3.434302011361224e-05,3.1528781248956844e-05,3.0701958907338146e-05,2.9794144054713822e-05,3.1207458946359765e-05,3.872934063497048e-05,4.120026458987683e-05,4.187408594939393e-05,4.654438252962259e-05,4.835021665566905e-05,4.0593517057802474e-05,3.40081323702419e-05,3.4336074780012136e-05,3.3285882878407085e-05,3.222552724137177e-05,3.2211793250269806e-05,3.247960737488732e-05,3.255738346155831e-05,3.258200620885224e-05,3.416118292070163e-05,3.633754019419191e-05,3.712005473455808e-05,3.778661290139767e-05,4.017844404625617e-05,4.2953155620744515e-05,4.465801035408668e-05,4.4889798418096675e-05,4.198487823769349e-05
85,0.2520968436409527,0.2494084685455489,0.2538075441067436,0.26423227330965,0.2626262356461102,0.2653119884607827,0.2555775322501669,0.2522233253693906,0.2929881342081498,0.2953240054938227,0.2606677258022026,0.2582293821379127,0.2577042062726814,0.2486411073473629,0.2469026187954867,0.2476908942954694,0.2472471539316331,0.2492153751823307,0.2509980614784108,0.2491782806269223,0.2506446671644899,0.2572781120278911,0.2676268417211188,0.2690992140330409,0.2642991497290284,0.2655431506602219,0.2675060923084081,0.2704470836208353,0.2679453493964897,0.2651642486083255
90,0.1213276714589012,0.1244229519792614,0.1287729195233642,0.1283382010770135,0.128090819648679,0.1293929005109069,0.1314712333753993,0.128743855703272,0.1356200196040197,0.1341200994209744,0.1376299064088516,0.1329407685151907,0.1241659160727812,0.1146858238478241,0.1165388653519873,0.1250896153474825,0.127975218838116,0.1283047473994481,0.1299410816562837,0.1325459592356972,0.1378023922391991,0.1400010356912113,0.1339396143029628,0.1263595969531306,0.1261776714079266,0.1269593513099086,0.1237322961042571,0.1241283906283142,0.1256699553153169,0.1280237338121594
60,2.445059418345153e-05,2.589111066990699e-05,2.6288730618514707e-05,2.3794434159051713e-05,2.2535813921226597e-05,2.2487193398879797e-05,2.2707816982871096e-05,2.39008149372738e-05,2.626921995937575e-05,3.0488864325310187e-05,3.547095994913725e-05,3.693399197132001e-05,3.404690238130591e-05,3.0063742048077417e-05,2.626843437039673e-05,2.4567619295064585e-05,2.394543760624642e-05,2.482442948195105e-05,2.5331425148738096e-05,2.492252134297303e-05,2.5173129413589187e-05,2.6175764154063668e-05,2.6139525962193505e-05,2.5696231585329736e-05,2.5229928086663577e-05,2.5338898617676083e-05,2.4916250869727996e-05,2.3048320578287505e-05,2.073255430515064e-05,1.8732066238437315e-05
75,0.0098639840668583,0.0099381923905399,0.0099826475843151,0.0100302513405042,0.0099463642745992,0.0098082403808735,0.0096975731431546,0.0096316794288116,0.0095533880725989,0.0095215429087263,0.0096137395543392,0.0093173453357533,0.0094126785230719,0.0096882443117497,0.0097063460460525,0.0097212254443278,0.0096541651970422,0.0097055705389329,0.0097265771061584,0.0096392056792239,0.0095062618916528,0.0095218456653335,0.0096145064772699,0.0096375437193317,0.0095778952310781,0.0095326812671312,0.0095006005953017,0.0095015118899213,0.0095150895177519,0.0094868530683849
